Country,iOS_Percentage,Android_Percentage,iosMarketShare,androidMarketShare
Antigua and Barbuda,34.39,65.12,26.66,72.83
United States Virgin Islands,60.69,38.86,59.53,40.13
Isle of Man,60.83,38.39,60.92,38.66
Andorra,69.56,30.01,62.84,36.75
Cayman Islands,55.13,43.23,55.02,44.15
Dominica,20.11,79.19,15.76,82.77
Bermuda,98.45,1.52,92.32,7.49
Guernsey,67.33,32.41,67.51,32.02
Greenland,39.64,56.83,55.1,44.47
Faroe Islands,92.66,7.28,92.23,7.68
Saint Kitts and Nevis,33.28,66.14,29.8,69.52
American Samoa,93.17,6.78,85.85,14.03
Turks and Caicos Islands,53.22,46.49,57.25,42.47
Northern Mariana Islands,30.23,66.49,31.83,65.87
Liechtenstein,49.74,47.82,64.93,34.74
British Virgin Islands,43.16,55.99,50.39,49.17
Gibraltar,49.23,50.32,49.5,49.74
Monaco,62.54,35.7,69.42,30.47
Marshall Islands,29,70.92,13.08,86.74
San Marino,41.12,57.5,35.69,63.69
Palau,32.24,66.86,32.95,66.75
Anguilla,50.34,48.77,46.8,52.66
Cook Islands,42.55,57.32,40.52,59.13
Nauru,7.96,92.02,5.49,94.39
Wallis and Futuna,31.56,68.12,66.68,33.26
Tuvalu,9.21,9078,4.83,95.17
Saint Pierre and Miquelon,77.29,22.6,70.6,29.16
Montserrat,28.72,70.57,28.27,71.24
Falkland Islands,26.05,73.81,22.26,77.58
Tokelau,80.87,19.13,94.44,4.56
Niue,75.52,24.48,79.86,20.14
Vatican City,39.65,60.26,39.62,59.16
